category,text
tech,tv future hands viewers home theatre systems plasma high-definition tvs digital video recorders moving living room way people watch tv radically different five years time. according expert panel gathered annual consumer electronics show las vegas discuss new technologies impact one favourite pastimes. us leading trend programmes content delivered viewers via home networks cable satellite telecoms companies broadband service providers front rooms portable devices. one talked-about technologies ces digital personal video recorders (dvr pvr). set-top boxes like us tivo uk sky+ system allow people record store play pause forward wind tv programmes want. essentially technology allows much personalised tv. also built-in high-definition tv sets big business japan us slower take europe lack high-definition programming. people forward wind adverts also forget abiding network channel schedules putting together a-la-carte entertainment. us networks cable satellite companies worried means terms advertising revenues well brand identity viewer loyalty channels. although us leads technology moment also concern raised europe particularly growing uptake services like sky+. happens today see nine months years time uk adam hume bbc broadcast futurologist told bbc news website. likes bbc issues lost advertising revenue yet. pressing issue moment commercial uk broadcasters brand loyalty important everyone. talking content brands rather network brands said tim hanlon brand communications firm starcom mediavest. reality broadband connections anybody producer content. added: challenge hard promote programme much choice. means said stacey jolna senior vice president tv guide tv group way people find content want watch simplified tv viewers. means networks us terms channels could take leaf google book search engine future instead scheduler help people find want watch. kind channel model might work younger ipod generation used taking control gadgets play them. might suit everyone panel recognised. older generations comfortable familiar schedules channel brands know getting. perhaps want much choice put hands mr hanlon suggested. end kids diapers pushing buttons already everything possible available said mr hanlon. ultimately consumer tell market want. new gadgets technologies showcased ces many enhancing tv-watching experience. high-definition tv sets everywhere many new models lcd (liquid crystal display) tvs launched dvr capability built instead external boxes. one example launched show humax -inch lcd tv -hour tivo dvr dvd recorder. one us biggest satellite tv companies directtv even launched branded dvr show -hours recording capability instant replay search function. set pause rewind tv hours. microsoft chief bill gates announced pre-show keynote speech partnership tivo called tivotogo means people play recorded programmes windows pcs mobile devices. reflect increasing trend freeing multimedia people watch want want.
business,worldcom boss left books alone former worldcom boss bernie ebbers accused overseeing $bn (£.bn) fraud never made accounting decisions witness told jurors. david myers made comments questioning defence lawyers arguing mr ebbers responsible worldcom problems. phone company collapsed prosecutors claim losses hidden protect firm shares. mr myers already pleaded guilty fraud assisting prosecutors. monday defence lawyer reid weingarten tried distance client allegations. cross examination asked mr myers ever knew mr ebbers make accounting decision aware mr myers replied. ever know mr ebbers make accounting entry worldcom books mr weingarten pressed. replied witness. mr myers admitted ordered false accounting entries request former worldcom chief financial officer scott sullivan. defence lawyers trying paint mr sullivan admitted fraud testify later trial mastermind behind worldcom accounting house cards. mr ebbers team meanwhile looking portray affable boss admission pe graduate economist. whatever abilities mr ebbers transformed worldcom relative unknown $bn telecoms giant investor darling late s. worldcom problems mounted however competition increased telecoms boom petered out. firm finally collapsed shareholders lost $bn workers lost jobs. mr ebbers trial expected last two months found guilty former ceo faces substantial jail sentence. firmly declared innocence.
sport,tigers wary farrell gamble leicester say rushed making bid andy farrell great britain rugby league captain decide switch codes. anybody else involved process still way away going next stage tigers boss john wells told bbc radio leicester. moment still lot unknowns andy farrell least medical situation. whoever take going take big big gamble. farrell persistent knee problems operation knee five weeks ago expected another three months. leicester saracens believed head list rugby union clubs interested signing farrell decides move -man game. move across union wells believes would better playing backs least initially. sure could make step league union involved centre said wells. think england would prefer progress position back row make use rugby league skills within forwards. jury whether cross divide. club balance struck cost gamble option bringing ready-made replacement.
sport,yeading face newcastle fa cup premiership side newcastle united face trip ryman premier league leaders yeading fa cup third round. game arguably highlight draw potential money-spinner non-league yeading beat slough second round. conference side exeter city knocked doncaster saturday travel old trafford meet holders manchester united january. arsenal drawn home stoke chelsea play host scunthorpe. non-league side draw hinckley united held brentford goalless draw sunday. meet league one leaders luton win replay martin allen team griffin park. number premiership teams face difficult away games championship sides weekend / january. third-placed everton visit plymouth liverpool travel burnley crystal palace go sunderland fulham face carling cup semi-finalists watford bolton meet ipswich aston villa drawn sheffield united. premiership strugglers norwich blackburn west brom away west ham cardiff preston north end respectively. southampton visit northampton already beaten league two side carling cup earlier season. middlesbrough drawn away either swindon notts county spurs entertain brighton white hart lane. arsenal v stoke swindon/notts co v middlesbrough man utd v exeter plymouth v everton leicester v blackpool derby v wigan sunderland v crystal palace wolves v millwall yeading v newcastle hull v colchester tottenham v brighton reading v stockport/swansea birmingham v leeds hartlepool v boston milton keynes dons v peterborough oldham v man city chelsea v scunthorpe cardiff v blackburn charlton v rochdale west ham v norwich sheff utd v aston villa preston v west brom rotherham v yeovil burnley v liverpool bournemouth v chester coventry v crewe watford v fulham ipswich v bolton portsmouth v gillingham northampton v southampton qpr v nottm forest luton v hinckley/brentford matches played weekend / january.
entertainment,ocean twelve raids box office ocean twelve crime caper sequel starring george clooney brad pitt julia roberts gone straight number one us box office chart. took $.m (£m) weekend ticket sales according studio estimates. sequel follows master criminals try pull three major heists across europe. knocked last week number one national treasure third place. wesley snipes blade: trinity second taking $.m (£.m). rounding top five animated fable polar express starring tom hanks festive comedy christmas kranks. ocean twelve box office triumph marks fourth-biggest opening december release us three films lord rings trilogy. sequel narrowly beat predecessor ocean eleven took $.m (£.m) opening weekend $m (£.m) total. remake film starring frank sinatra rat pack ocean eleven directed oscar-winning director steven soderbergh. soderbergh returns direct hit sequel reunites clooney pitt roberts matt damon andy garcia elliott gould. catherine zeta-jones joins all-star cast. fun good holiday movie said dan fellman president distribution warner bros. however us critics less complimentary $m (£.m) project los angeles times labelling dispiriting vanity project milder review new york times dubbed sequel unabashedly trivial
politics,howard hits back mongrel jibe michael howard said claim peter hain tory leader acting like attack mongrel shows labour rattled opposition. upbeat speech party spring conference brighton said labour campaigning tactics proved tories hitting home. mr hain made claim tory tactics anti-terror bill debate. something tells someone somewhere little bit rattled mr howard said. mr hain leader commons told bbc radio four today programme mr howard stance government anti-terrorism legislation putting country risk. accused tory leader behaving like attack mongrel playing opposition opposition sake mr howard told party labour would anything say anything claim anything cling office costs far year compared fagin shylock flying pig. morning peter hain even called mongrel. know something tells someone somewhere little bit rattled. environment secretary margaret beckett rejected mr howard comment telling radio pm programme labour rattled real duty try get people focus michael howard record proposals trying put forward country also many examples seeing believe really poor judgement behalf. mr howard said tory policies schools taxes immigration crime striking chord voters. since beginning year election year making political weather told party conference. mr howard denied playing politics raising case margaret dixon whose operation cancelled seven times grabbed headlines party two weeks ago. hit back labour claims used mrs dixon human shield human shield mr blair human being. mr howard said party plans immigration quotas also focus much media coverage racist common sense pledged cleaner hospitals better school discipline promise get rid political correctness national curriculum give everyone chance decent state education had. come ordinary family. teenage michael howard applying cambridge today gordon brown would love me. stressed party commitment cut taxes red tape increase basic state pension line earnings. finished personal appeal party activists go win next election. one day able tell children grandchildren tell mine there. bit. played part. helped win famous election election transformed country better labour election co-ordinator alan milburn said: michael howard speech today confirms always said strategy opportunism forward vision country. reference appearance mr howard family conference stage mr milburn said: michael howard perfectly entitled pose family today. hard working families across britain damaged plan cut £bn public spending.
politics,blair prepares name poll date tony blair likely name may election day parliament returns easter break bbc political editor learned. andrew marr says mr blair ask queen april dissolve parliament end week. mr blair far resisted calls name day parties stepped campaigning recently. downing street would drawn claim saying election timing matter prime minister. number spokeswoman would say: announce election wants announce election. move signal frantic week westminster government likely try get key legislation parliament. government needs finance bill covering budget plans passed commons closes business end session april. also seek push serious organised crime bill id cards bill. mr marr said wednesday today programme: almost nobody senior level inside government parliament expect election called april. soon commons back short easter recess tony blair whips palace asks queen dissolve parliament ... going. labour government officially june hold general election recent years governments favoured four-year terms.
sport,henman hopes ended dubai third seed tim henman slumped straight sets defeat rain-interrupted dubai open quarter-final ivan ljubicic. croatian eighth seed booked place last four - - victory british number one. henman looked course level match going - second set progress halted rain intervened again. ljubicic hit back break seal fourth straight win henman. earlier day spanish fifth seed tommy robredo secured semi-final place beat nicolas kiefer germany - -. afterwards henman left cursing weather umpire seven breaks rain match. incredibly frustrating henman said. raining umpire take control. kept telling us play till end game. raining come score irrelevant. frustrating happy form now. expect desert.
sport,wilkinson fit face edinburgh england captain jonny wilkinson make long-awaited return injury edinburgh saturday. wilkinson played since injuring bicep october took part full-contact training newcastle falcons wednesday. -year-old fly-half start saturday heineken cup match murrayfield bench. newcastle director rugby rob andrew said: fine hope get game stage. -year-old missed england autumn internationals aggravating haematoma upper right arm saracens. subsequently replaced england captain full-back jason robinson. sale charlie hodgson took number shirt internationals canada south africa australia. wilkinson year disrupted injury muscle problem followed eight months sidelines shoulder injury sustained world cup final.
entertainment,last star wars children sixth final star wars movie may suitable young children film-maker george lucas said. told us tv show minutes revenge sith would darkest violent series. think would take five six-year-old told cbs programme aired sunday. lucas predicted film would get us rating advising parents scenes may unsuitable under-s. opens uk us may. said expected film would classified pg- roughly equivalent british rating. five previous star wars films carried less restrictive pg parental guidance ratings us. uk passed u suitable exception attack clones got pg rating . revenge sith third prequel original star wars film chronicles transformation heroic anakin skywalker evil darth vader travels hell-like planet composed erupting volcanoes molten lava. going watch make pact devil lucas said. film much dark emotional. much tragedy.
